
Jun 15 06:19:00: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:00 GST Thu Jun 15 2023
Jun 15 06:19:10: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 06:19:52: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:52 GST Thu Jun 15 2023
Jun 15 06:20:01: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 07:43:34: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 18:12:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:12:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:24: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:12:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:14:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:14:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:14:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:14:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:15:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:15:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:15:11: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:15:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:15:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:15:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:15:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:15:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:15:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:15:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:15:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:15:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:16:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:16:11: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:16:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:16:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:16:49: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:16:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:17:13: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:17:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:17:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:17:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:17:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:17:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:17:46: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:18:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:18:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:18:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:18:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:18:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:18:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:18:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:19:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:19:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:19:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:19:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:19:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:19:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:20:02: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:20:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:20:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:20:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:20:39: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:20:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:20:48: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:20:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:20:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:20:58: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:21:12: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:21:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:21:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:21:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:21:24: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:21:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:21:36: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:21:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:21:44: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:21:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:21:57: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:22:09: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:22:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:22:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:22:19: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:22:19: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:22:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:22:21: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:22:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:22:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:22:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:22:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:22:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:22:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:23:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:23:05: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:23:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:23:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:23:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:23:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:23:19: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:23:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:23:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:23:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:23:40: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:23:46: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:23:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:23:48: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:23:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:23:58: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:23:58: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:23:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:24:00: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:24:14: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:24:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:24:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:24:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:24:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:24:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:24:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:24:58: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:24:58: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:25:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:25:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:25:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:25:32: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:25:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:25:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:25:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:25:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:25:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:26:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:26:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:26:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:26:19: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:26:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:26:25: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:26:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:26:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:26:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:26:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:27:02: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:27:16: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:27:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:27:29: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:27:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:27:33: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:27:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:27:47: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:27:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:28:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:28:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:28:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:28:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:28:40: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:28:40: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:28:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:28:42: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:28:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:28:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:29:11: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:29:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:29:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:29:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:29:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:29:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:29:40: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:29:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:29:57: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:29:58: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:30:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:30:04: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:30:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:30:09: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:30:09: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:30:09: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:30:11: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:30:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:30:25: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:30:27: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:30:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:30:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:30:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:30:50: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:30:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:30:57: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:31:09: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:31:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:31:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:31:38: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:31:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:31:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:31:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:31:50: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:31:50: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:31:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:31:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:31:52: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:31:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:32:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:32:08: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:32:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:32:30: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:32:50: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:32:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:32:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:33:01: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:33:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:33:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:33:19: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:33:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:33:23: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:33:23: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:33:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:33:25: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:33:25: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:33:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:33:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:33:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:33:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:33:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:33:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:33:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:34:23: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:34:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:34:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:34:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:34:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:34:47: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:34:52: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:34:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:34:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:34:55: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:34:55: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:34:55: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:34:57: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
